Target Distance: 50, Step Size: 2
0: (x,y) = (0, 0)
1: (x,y) = (1.48629, -1.33826)
2: (x,y) = (-0.498803, -1.09452)
3: (x,y) = (1.29879, -1.97126)
4: (x,y) = (-0.633066, -2.4889)
5: (x,y) = (0.116147, -0.634535)
6: (x,y) = (-0.162199, 1.346)
7: (x,y) = (0.488937, 3.23704)
8: (x,y) = (-0.87506, 1.77433)
9: (x,y) = (0.763244, 0.627178)
10: (x,y) = (-0.0502288, 2.45427)
11: (x,y) = (0.158828, 0.465225)
12: (x,y) = (1.52282, -0.997482)
13: (x,y) = (0.108611, 0.416731)
14: (x,y) = (-0.442663, -1.50579)
15: (x,y) = (-0.892566, -3.45453)
16: (x,y) = (-2.89135, -3.52433)
17: (x,y) = (-3.30717, -5.48063)
18: (x,y) = (-4.69649, -4.04195)
19: (x,y) = (-6.68888, -3.86764)
20: (x,y) = (-6.82839, -5.86276)
21: (x,y) = (-8.80893, -5.58442)
22: (x,y) = (-10.6499, -4.80296)
23: (x,y) = (-12.6496, -4.76805)
24: (x,y) = (-12.9625, -6.74343)
25: (x,y) = (-14.4012, -5.35411)
26: (x,y) = (-14.2965, -3.35685)
27: (x,y) = (-13.1209, -1.73882)
28: (x,y) = (-15.1206, -1.77372)
29: (x,y) = (-15.5705, 0.175018)
30: (x,y) = (-13.5854, -0.0687206)
31: (x,y) = (-15.2998, 0.961356)
32: (x,y) = (-13.5854, -0.0687206)
33: (x,y) = (-14.9997, -1.48293)
34: (x,y) = (-14.3816, -3.38505)
35: (x,y) = (-12.6673, -4.41512)
36: (x,y) = (-14.6079, -3.93128)
37: (x,y) = (-15.755, -2.29298)
38: (x,y) = (-13.8063, -1.84307)
39: (x,y) = (-15.7695, -1.46146)
40: (x,y) = (-17.1838, -0.0472418)
41: (x,y) = (-15.1987, 0.196497)
42: (x,y) = (-14.8514, -1.77312)
43: (x,y) = (-13.2971, -0.514478)
44: (x,y) = (-13.1228, -2.50687)
45: (x,y) = (-13.8068, -4.38625)
46: (x,y) = (-12.1487, -3.26787)
47: (x,y) = (-12.6664, -1.33602)
48: (x,y) = (-13.2176, 0.586508)
49: (x,y) = (-15.0848, 1.30324)
50: (x,y) = (-16.0544, 3.05248)
51: (x,y) = (-15.9498, 1.05522)
52: (x,y) = (-14.0371, 0.470481)
53: (x,y) = (-12.4191, 1.64605)
54: (x,y) = (-11.0049, 0.231838)
55: (x,y) = (-12.7869, -0.676143)
56: (x,y) = (-13.3717, -2.58875)
57: (x,y) = (-11.3717, -2.58875)
58: (x,y) = (-13.1987, -1.77528)
59: (x,y) = (-14.7308, -0.489704)
60: (x,y) = (-16.043, 1.01972)
61: (x,y) = (-17.701, -0.0986705)
62: (x,y) = (-18.6706, -1.84791)
63: (x,y) = (-18.7055, 0.151785)
64: (x,y) = (-20.7028, 0.256457)
65: (x,y) = (-20.6679, 2.25615)
66: (x,y) = (-18.7553, 2.8409)
67: (x,y) = (-18.5462, 4.82994)
68: (x,y) = (-19.5462, 3.09789)
69: (x,y) = (-21.4134, 3.81463)
70: (x,y) = (-23.3044, 3.16349)
71: (x,y) = (-22.6864, 1.26138)
72: (x,y) = (-21.2722, 2.67559)
73: (x,y) = (-21.4812, 0.686545)
74: (x,y) = (-23.0355, 1.94519)
75: (x,y) = (-22.0355, 0.213135)
76: (x,y) = (-20.5492, -1.12513)
77: (x,y) = (-21.7806, 0.450896)
78: (x,y) = (-23.3778, 1.65453)
79: (x,y) = (-22.0138, 3.11723)
80: (x,y) = (-23.0138, 4.84928)
81: (x,y) = (-21.7552, 6.40358)
82: (x,y) = (-20.6081, 4.76527)
83: (x,y) = (-18.6384, 4.41798)
84: (x,y) = (-19.6081, 2.66874)
85: (x,y) = (-20.6381, 4.38307)
86: (x,y) = (-19.2239, 2.96886)
87: (x,y) = (-20.5879, 1.50615)
88: (x,y) = (-21.0378, -0.44259)
89: (x,y) = (-23.0229, -0.686329)
90: (x,y) = (-21.4049, -1.8619)
91: (x,y) = (-19.7468, -0.743514)
92: (x,y) = (-18.5712, 0.87452)
93: (x,y) = (-20.3838, 0.0292837)
94: (x,y) = (-20.4885, 2.02654)
95: (x,y) = (-20.8358, 0.0569272)
96: (x,y) = (-18.9133, 0.608202)
97: (x,y) = (-17.6546, 2.16249)
98: (x,y) = (-16.5654, 0.485153)
99: (x,y) = (-14.6633, -0.132881)
100: (x,y) = (-12.9312, -1.13288)
101: (x,y) = (-11.0902, -1.91434)
102: (x,y) = (-10.1822, -0.13233)
103: (x,y) = (-9.18222, -1.86438)
104: (x,y) = (-10.5462, -3.32709)
105: (x,y) = (-12.4483, -3.94512)
106: (x,y) = (-14.4407, -4.11943)
107: (x,y) = (-15.0919, -6.01047)
108: (x,y) = (-16.2102, -7.66855)
109: (x,y) = (-15.3023, -9.45056)
110: (x,y) = (-13.5364, -8.51162)
111: (x,y) = (-15.449, -9.09636)
112: (x,y) = (-17.4478, -9.02656)
113: (x,y) = (-15.8935, -7.76792)
114: (x,y) = (-15.9633, -9.7667)
115: (x,y) = (-17.4019, -8.37738)
116: (x,y) = (-17.1236, -10.3579)
117: (x,y) = (-18.2129, -8.68058)
118: (x,y) = (-17.9691, -10.6657)
119: (x,y) = (-19.4318, -9.30168)
120: (x,y) = (-21.1092, -8.2124)
121: (x,y) = (-20.5244, -10.125)
122: (x,y) = (-21.3059, -11.966)
123: (x,y) = (-20.7883, -13.8979)
124: (x,y) = (-19.2788, -15.21)
125: (x,y) = (-18.8972, -17.1732)
126: (x,y) = (-19.2101, -19.1486)
127: (x,y) = (-19.4191, -21.1377)
128: (x,y) = (-19.4191, -23.1377)
129: (x,y) = (-21.3597, -23.6215)
130: (x,y) = (-20.8085, -21.699)
131: (x,y) = (-22.4057, -22.9026)
132: (x,y) = (-21.9219, -20.962)
133: (x,y) = (-23.2859, -22.4247)
134: (x,y) = (-23.4254, -20.4296)
135: (x,y) = (-24.1094, -18.5502)
136: (x,y) = (-25.5957, -17.212)
137: (x,y) = (-25.2141, -19.1752)
138: (x,y) = (-23.3231, -19.8263)
139: (x,y) = (-21.4437, -19.1423)
140: (x,y) = (-21.5484, -21.1396)
141: (x,y) = (-20.317, -22.7156)
142: (x,y) = (-21.9143, -23.9192)
143: (x,y) = (-20.1823, -24.9192)
144: (x,y) = (-20.8663, -23.0398)
145: (x,y) = (-22.8553, -23.2489)
